Ingredient,Strength
BUDESONIDE,2MG/ACTUATION
BETAMETHASONE VALERATE,0.12%
BETAMETHASONE VALERATE,0.12%
BETAMETHASONE VALERATE,0.12%
CLINDAMYCIN PHOSPHATE,1%
CLOBETASOL PROPIONATE,0.05%
CLOBETASOL PROPIONATE,0.05%
ECONAZOLE NITRATE,1%
BETAMETHASONE DIPROPIONATE,0.064%
BETAMETHASONE DIPROPIONATE,0.005%
CALCIPOTRIENE,0.064%
CALCIPOTRIENE,0.005%
CLINDAMYCIN PHOSPHATE,1%
KETOCONAZOLE,2%
TAZAROTENE,0.1%
AZELAIC ACID,15%
KETOCONAZOLE,2%
BETAMETHASONE VALERATE,0.12%
MINOXIDIL,5%
MINOXIDIL,5%
MINOXIDIL,5%
CLOBETASOL PROPIONATE,0.05%
CLOBETASOL PROPIONATE,0.05%
CALCIPOTRIENE,0.005%
DESONIDE,0.05%
MINOXIDIL,5%
FLUTICASONE PROPIONATE,0.045MG/INH
FLUTICASONE PROPIONATE,EQ 0.021MG BASE/INH
SALMETEROL XINAFOATE,0.045MG/INH
SALMETEROL XINAFOATE,EQ 0.021MG BASE/INH
FLUTICASONE PROPIONATE,0.115MG/INH
FLUTICASONE PROPIONATE,EQ 0.021MG BASE/INH
SALMETEROL XINAFOATE,0.115MG/INH
SALMETEROL XINAFOATE,EQ 0.021MG BASE/INH
FLUTICASONE PROPIONATE,0.23MG/INH
FLUTICASONE PROPIONATE,EQ 0.021MG BASE/INH
SALMETEROL XINAFOATE,0.23MG/INH
SALMETEROL XINAFOATE,EQ 0.021MG BASE/INH
FLUNISOLIDE,0.25MG/INH
FLUNISOLIDE,0.078MG/INH
ALBUTEROL,0.09MG/INH
ALBUTEROL,0.09MG/INH
ALBUTEROL,0.09MG/INH
ALBUTEROL,0.09MG/INH
METAPROTERENOL SULFATE,0.65MG/INH
CICLESONIDE,0.08MG/INH
CICLESONIDE,0.16MG/INH
MOMETASONE FUROATE,0.10MG/INH
MOMETASONE FUROATE,0.20MG/INH
ATROPINE SULFATE,EQ 0.36MG BASE/INH
IPRATROPIUM BROMIDE,0.018MG/INH
IPRATROPIUM BROMIDE,0.021MG/INH
TRIAMCINOLONE ACETONIDE,0.1MG/INH
BECLOMETHASONE DIPROPIONATE,0.042MG/INH
FORMOTEROL FUMARATE,0.0048MG/INH
FORMOTEROL FUMARATE,0.0090MG/INH
GLYCOPYRROLATE,0.0048MG/INH
GLYCOPYRROLATE,0.0090MG/INH
TERBUTALINE SULFATE,0.2MG/INH
TERBUTALINE SULFATE,0.2MG/INH
SODIUM CHLORIDE,0.9%
EPINEPHRINE BITARTRATE,0.3MG/INH
EPINEPHRINE,0.25MG/INH
ISOETHARINE MESYLATE,0.34MG/INH
ALBUTEROL SULFATE,EQ 0.09MG BASE/INH
ALBUTEROL SULFATE,0.018MG/INH
