Ingredient	Strength
BUDESONIDE	2MG/ACTUATION
BETAMETHASONE VALERATE	0.12%
BETAMETHASONE VALERATE	0.12%
BETAMETHASONE VALERATE	0.12%
CLINDAMYCIN PHOSPHATE	1%
CLOBETASOL PROPIONATE	0.05%
CLOBETASOL PROPIONATE	0.05%
ECONAZOLE NITRATE	1%
BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE	0.064%;0.005%
CLINDAMYCIN PHOSPHATE	1%
KETOCONAZOLE	2%
TAZAROTENE	0.1%
AZELAIC ACID	15%
KETOCONAZOLE	2%
BETAMETHASONE VALERATE	0.12%
MINOXIDIL	5%
MINOXIDIL	5%
MINOXIDIL	5%
CLOBETASOL PROPIONATE	0.05%
CLOBETASOL PROPIONATE	0.05%
CALCIPOTRIENE	0.005%
DESONIDE	0.05%
MINOXIDIL	5%
FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE	0.045MG/INH;EQ 0.021MG BASE/INH
FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE	0.115MG/INH;EQ 0.021MG BASE/INH
FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE	0.23MG/INH;EQ 0.021MG BASE/INH
FLUNISOLIDE	0.25MG/INH
FLUNISOLIDE	0.078MG/INH
ALBUTEROL	0.09MG/INH
ALBUTEROL	0.09MG/INH
ALBUTEROL	0.09MG/INH
ALBUTEROL	0.09MG/INH
METAPROTERENOL SULFATE	0.65MG/INH
CICLESONIDE	0.08MG/INH
CICLESONIDE	0.16MG/INH
MOMETASONE FUROATE	0.10MG/INH
MOMETASONE FUROATE	0.20MG/INH
ATROPINE SULFATE	EQ 0.36MG BASE/INH
IPRATROPIUM BROMIDE	0.018MG/INH
IPRATROPIUM BROMIDE	0.021MG/INH
TRIAMCINOLONE ACETONIDE	0.1MG/INH
BECLOMETHASONE DIPROPIONATE	0.042MG/INH
FORMOTEROL FUMARATE; GLYCOPYRROLATE	0.0048MG/INH;0.0090MG/INH
TERBUTALINE SULFATE	0.2MG/INH
TERBUTALINE SULFATE	0.2MG/INH
SODIUM CHLORIDE	0.9%
EPINEPHRINE BITARTRATE	0.3MG/INH
EPINEPHRINE	0.25MG/INH
ISOETHARINE MESYLATE	0.34MG/INH
ALBUTEROL SULFATE; IPRATROPIUM BROMIDE	EQ 0.09MG BASE/INH;0.018MG/INH
DEXAMETHASONE SODIUM PHOSPHATE	EQ 0.1MG PHOSPHATE/INH
FORMOTEROL FUMARATE; MOMETASONE FUROATE	0.005MG/INH;0.1MG/INH
FORMOTEROL FUMARATE; MOMETASONE FUROATE	0.005MG/INH;0.2MG/INH
ISOPROTERENOL HYDROCHLORIDE; PHENYLEPHRINE BITARTRATE	0.16MG/INH;0.24MG/INH
EPINEPHRINE	0.2MG/INH
FLUTICASONE PROPIONATE	0.044MG/INH
FLUTICASONE PROPIONATE	0.11MG/INH
